incident_severity,insured_hobbies,incident_type,collision_type,incident_state,authorities_contacted,property_claim,vehicle_claim,policy_annual_premium,insured_zip,policy_number,total_claim_amount,months_as_customer,injury_claim,age,insured_occupation,capital-gains,fraud_reported
Major Damage,movies,Multi-vehicle Collision,Side Collision,NC,Other,13840,55360,1163.83,604874,425631,76120,143,6920,31,protective-serv,37700,N
Minor Damage,movies,Multi-vehicle Collision,Front Collision,SC,Ambulance,13080,58860,1003.15,462377,542245,85020,130,13080,28,farming-fishing,0,N
Minor Damage,polo,Multi-vehicle Collision,Rear Collision,NY,Fire,12380,43330,1153.54,619657,512894,68090,242,12380,41,protective-serv,0,N
Trivial Damage,exercise,Parked Car,?,WV,Police,670,4690,1631.1,437323,633090,6030,96,670,27,priv-house-serv,0,N
Minor Damage,yachting,Vehicle Theft,?,OH,,510,3570,1252.48,432148,464234,5100,180,1020,35,machine-op-inspct,0,N
Trivial Damage,yachting,Vehicle Theft,?,WV,Police,510,3570,1677.26,439690,290162,4590,150,510,30,sales,40100,N
Major Damage,yachting,Multi-vehicle Collision,Front Collision,SC,Other,14480,50680,979.73,601848,638155,72400,463,7240,59,exec-managerial,51700,Y
Major Damage,skydiving,Single Vehicle Collision,Front Collision,NY,Fire,7090,49630,989.24,615821,911429,70900,472,14180,64,other-service,0,N
Total Loss,hiking,Multi-vehicle Collision,Side Collision,WV,Other,6510,52080,1389.86,472475,106186,65100,75,6510,25,priv-house-serv,0,N
Total Loss,chess,Multi-vehicle Collision,Side Collision,PA,Ambulance,14280,49980,1233.85,457463,311783,64260,193,0,40,handlers-cleaners,0,N
Major Damage,yachting,Single Vehicle Collision,Rear Collision,WV,Ambulance,21810,50890,1320.39,604861,528385,79970,43,7270,43,armed-forces,0,Y
Total Loss,bungie-jumping,Single Vehicle Collision,Rear Collision,SC,Police,6290,44030,1435.09,471519,228403,56610,253,6290,41,machine-op-inspct,36600,N
Major Damage,polo,Single Vehicle Collision,Side Collision,VA,Fire,7690,69210,1448.54,618682,209177,84590,152,7690,30,craft-repair,58600,Y
Major Damage,sleeping,Multi-vehicle Collision,Side Collision,SC,Fire,14840,44520,1733.56,441425,497929,66780,160,7420,38,sales,0,N
Major Damage,exercise,Single Vehicle Collision,Rear Collision,NC,Police,6500,52000,1533.07,609336,735844,58500,56,0,36,farming-fishing,0,N
Trivial Damage,golf,Parked Car,?,WV,Police,500,4000,1106.77,603320,710741,5000,286,500,41,prof-specialty,45500,N
Trivial Damage,chess,Parked Car,?,PA,Police,1000,3500,995.7,615446,276804,5000,3,500,29,priv-house-serv,0,Y
Major Damage,camping,Multi-vehicle Collision,Front Collision,NY,Ambulance,12100,36300,1298.85,435967,507545,54450,286,6050,41,sales,71300,N
Major Damage,bungie-jumping,Multi-vehicle Collision,Front Collision,WV,Police,6880,48160,1276.73,610246,485642,61920,239,6880,38,handlers-cleaners,0,N
Minor Damage,cross-fit,Single Vehicle Collision,Side Collision,VA,Ambulance,4370,34960,1202.28,479327,796375,43700,64,4370,29,exec-managerial,0,Y
Minor Damage,bungie-jumping,Single Vehicle Collision,Front Collision,NC,Other,7120,49840,671.92,468300,171183,64080,98,7120,31,machine-op-inspct,0,N
Total Loss,chess,Single Vehicle Collision,Rear Collision,SC,Other,10000,35000,1358.03,612660,110084,55000,16,10000,35,sales,59300,Y
Trivial Damage,video-games,Vehicle Theft,?,WV,Police,550,3850,1008.79,466691,714784,4400,70,0,27,adm-clerical,46000,N
Minor Damage,movies,Multi-vehicle Collision,Side Collision,SC,Police,11940,53730,1141.1,468515,143924,71640,75,5970,27,armed-forces,0,N
Minor Damage,reading,Single Vehicle Collision,Rear Collision,NY,Other,6860,48020,1397.0,614521,996850,61740,246,6860,44,machine-op-inspct,0,N
Total Loss,golf,Single Vehicle Collision,Side Collision,SC,Ambulance,5750,46000,1664.66,465921,284834,57500,110,5750,27,priv-house-serv,0,N
Minor Damage,reading,Parked Car,?,NY,Police,1740,6090,1151.39,604555,830878,8700,236,870,39,exec-managerial,0,N
Total Loss,polo,Multi-vehicle Collision,Front Collision,VA,Police,7710,53970,1546.01,616276,270208,77100,267,15420,46,adm-clerical,0,N
Minor Damage,dancing,Single Vehicle Collision,Front Collision,NY,Police,6600,46200,1063.67,463356,407958,59400,463,6600,57,priv-house-serv,0,N
Minor Damage,kayaking,Multi-vehicle Collision,Rear Collision,NY,Fire,4990,39920,709.14,450184,832300,54890,303,9980,46,machine-op-inspct,0,N
Minor Damage,kayaking,Multi-vehicle Collision,Front Collision,WV,Other,13460,53840,1039.55,466393,927205,74030,137,6730,30,exec-managerial,55600,N
Total Loss,chess,Single Vehicle Collision,Rear Collision,NY,Other,11180,39130,1339.39,471786,655356,61490,56,11180,42,adm-clerical,0,N
Minor Damage,board-games,Multi-vehicle Collision,Front Collision,SC,Police,13260,59670,1202.75,602289,831053,79560,75,6630,27,handlers-cleaners,57900,N
Minor Damage,yachting,Parked Car,?,NY,Police,490,3920,1081.17,445120,432740,4900,131,490,33,sales,0,N
Total Loss,paintball,Multi-vehicle Collision,Side Collision,WV,Other,14140,49490,991.39,449260,893853,77770,153,14140,34,tech-support,45600,N
Major Damage,board-games,Multi-vehicle Collision,Side Collision,SC,Fire,14940,52290,984.02,472724,594988,74700,255,7470,43,transport-moving,75800,Y
Minor Damage,sleeping,Multi-vehicle Collision,Front Collision,NY,Police,4060,32480,1354.83,475173,979544,40600,103,4060,26,tech-support,66300,N
Total Loss,video-games,Single Vehicle Collision,Rear Collision,SC,Ambulance,10060,25150,830.31,443854,191891,45270,97,10060,28,farming-fishing,0,N
Minor Damage,kayaking,Multi-vehicle Collision,Front Collision,NY,Ambulance,8560,34240,987.42,461418,831479,47080,214,4280,36,machine-op-inspct,0,N
Minor Damage,chess,Single Vehicle Collision,Side Collision,SC,Police,4070,32560,1119.29,616164,714346,40700,438,4070,57,machine-op-inspct,0,Y
Minor Damage,polo,Single Vehicle Collision,Side Collision,NY,Police,3150,25200,1048.39,620962,326289,34650,87,6300,27,transport-moving,0,N
Trivial Damage,camping,Parked Car,?,WV,Police,400,2400,1074.47,465201,944537,3200,27,400,28,protective-serv,0,N
Major Damage,yachting,Single Vehicle Collision,Rear Collision,VA,Fire,14360,57440,1230.76,470488,779156,78980,206,7180,42,machine-op-inspct,0,Y
Minor Damage,reading,Parked Car,?,SC,,1120,4480,1255.02,462250,856153,6160,127,560,31,sales,58200,N
Major Damage,hiking,Single Vehicle Collision,Front Collision,NC,Ambulance,7750,62000,1555.52,436408,473338,85250,422,15500,60,machine-op-inspct,43600,N
Major Damage,camping,Multi-vehicle Collision,Side Collision,SC,Fire,6070,54630,836.11,464230,521694,72840,303,12140,50,sales,0,N
Trivial Damage,base-jumping,Parked Car,?,WV,Police,1100,3850,1450.98,478609,136520,6050,228,1100,40,exec-managerial,43700,N
Major Damage,hiking,Single Vehicle Collision,Front Collision,SC,Fire,7990,63920,625.08,437156,730819,87890,239,15980,39,protective-serv,44200,Y
Total Loss,chess,Multi-vehicle Collision,Side Collision,NY,Other,5500,44000,1133.27,432218,912665,60500,330,11000,47,craft-repair,0,Y
Minor Damage,kayaking,Multi-vehicle Collision,Front Collision,NY,Fire,16040,56140,1366.6,620493,469966,88220,128,16040,35,machine-op-inspct,0,N
Total Loss,video-games,Multi-vehicle Collision,Rear Collision,SC,Other,4880,39040,1439.9,475391,952300,53680,147,9760,37,prof-specialty,0,N
Minor Damage,golf,Single Vehicle Collision,Front Collision,VA,Fire,5380,43040,1230.69,440720,322609,53800,287,5380,45,transport-moving,0,N
Major Damage,dancing,Single Vehicle Collision,Rear Collision,NY,Police,9060,40770,1307.68,606942,890280,54360,142,4530,29,craft-repair,0,Y
Major Damage,bungie-jumping,Single Vehicle Collision,Side Collision,WV,Police,4940,39520,1124.69,446971,431583,54340,162,9880,35,handlers-cleaners,0,N
Trivial Damage,chess,Parked Car,?,SC,,260,2080,1520.78,470538,155912,2860,140,520,35,craft-repair,0,Y
Minor Damage,polo,Vehicle Theft,?,WV,Police,1220,4270,1609.11,601177,110143,5490,106,0,28,craft-repair,0,N
Trivial Damage,dancing,Vehicle Theft,?,WV,Police,1340,5360,1358.91,451470,808544,7370,292,670,45,craft-repair,0,N
Major Damage,chess,Multi-vehicle Collision,Side Collision,NC,Ambulance,5080,40640,1295.87,438529,409074,50800,34,5080,34,priv-house-serv,0,Y
Minor Damage,video-games,Multi-vehicle Collision,Side Collision,VA,Fire,5190,31140,1161.03,469742,824728,41520,290,5190,48,adm-clerical,45300,N
Total Loss,movies,Single Vehicle Collision,Side Collision,NY,Police,16300,65200,1441.06,435534,606037,89650,182,8150,38,armed-forces,53800,N
Total Loss,base-jumping,Multi-vehicle Collision,Rear Collision,NY,Police,0,39690,1097.99,442239,636843,39690,362,0,55,other-service,44400,N
Major Damage,golf,Single Vehicle Collision,Rear Collision,SC,Ambulance,5660,50940,1464.42,468986,111874,62260,143,5660,32,exec-managerial,79900,N
Major Damage,paintball,Single Vehicle Collision,Side Collision,NC,Police,4720,37760,1543.68,606988,439844,51920,183,9440,38,prof-specialty,20200,Y
Minor Damage,bungie-jumping,Single Vehicle Collision,Front Collision,NY,Other,4860,38880,1390.89,453719,463513,53460,254,9720,40,armed-forces,0,N
Total Loss,golf,Multi-vehicle Collision,Rear Collision,SC,Fire,5710,45680,1148.58,475524,577858,57100,249,5710,43,adm-clerical,0,N
Total Loss,yachting,Multi-vehicle Collision,Front Collision,NY,Ambulance,7040,56320,1616.26,617804,607351,77440,169,14080,36,exec-managerial,50700,N
Minor Damage,bungie-jumping,Single Vehicle Collision,Side Collision,NY,Ambulance,13660,47810,1398.94,613399,682754,68300,235,6830,40,craft-repair,0,N
Trivial Damage,base-jumping,Parked Car,?,NY,,920,3680,1238.92,453400,757352,5060,112,460,32,other-service,57800,N
Total Loss,chess,Multi-vehicle Collision,Side Collision,WV,Ambulance,13200,39600,968.46,615767,307469,59400,16,6600,32,tech-support,50800,Y
Major Damage,cross-fit,Multi-vehicle Collision,Side Collision,NY,Ambulance,15540,54390,1045.12,615311,526296,69930,128,0,31,transport-moving,0,Y
Minor Damage,board-games,Multi-vehicle Collision,Front Collision,NY,Police,15540,54390,1537.33,468470,658816,77700,103,7770,27,handlers-cleaners,0,N
Major Damage,yachting,Multi-vehicle Collision,Front Collision,SC,Other,12500,43750,912.3,461383,913337,68750,356,12500,54,prof-specialty,58500,Y
Minor Damage,movies,Multi-vehicle Collision,Side Collision,NY,Police,16560,57960,1007.28,457727,488464,91080,109,16560,29,adm-clerical,0,N
Minor Damage,golf,Single Vehicle Collision,Side Collision,WV,Other,8060,36270,1189.98,613327,480094,48360,2,4030,20,craft-repair,0,N
Major Damage,kayaking,Single Vehicle Collision,Side Collision,WV,Other,9500,76000,1576.41,614941,263108,95000,198,9500,34,handlers-cleaners,0,N
Trivial Damage,yachting,Vehicle Theft,?,SC,Police,390,2730,1172.82,440680,298412,3900,107,780,32,machine-op-inspct,82100,N
Minor Damage,cross-fit,Multi-vehicle Collision,Front Collision,NC,Other,5940,41580,1312.22,609949,261905,59400,252,11880,39,transport-moving,0,Y
Minor Damage,camping,Single Vehicle Collision,Rear Collision,NC,Fire,6690,46830,671.01,479655,674485,60210,303,6690,43,machine-op-inspct,42900,N
Minor Damage,video-games,Single Vehicle Collision,Front Collision,SC,Ambulance,4360,30520,895.14,439964,223404,43600,101,8720,32,sales,52600,N
Total Loss,sleeping,Multi-vehicle Collision,Front Collision,SC,Police,12560,43960,1373.21,478486,991480,62800,446,6280,57,adm-clerical,42700,N
Major Damage,skydiving,Single Vehicle Collision,Side Collision,VA,Ambulance,5950,41650,1625.65,466498,804219,59500,330,11900,48,farming-fishing,0,N
Total Loss,skydiving,Multi-vehicle Collision,Front Collision,WV,Police,5940,41580,1295.63,430878,483088,53460,211,5940,37,armed-forces,42200,N
Total Loss,reading,Multi-vehicle Collision,Side Collision,NY,Ambulance,7580,26530,1459.96,600127,100804,41690,172,7580,33,adm-clerical,41300,N
Minor Damage,paintball,Single Vehicle Collision,Side Collision,NY,Ambulance,12620,44170,1219.94,431968,941807,63100,316,6310,46,prof-specialty,0,N
Total Loss,chess,Single Vehicle Collision,Front Collision,WV,Ambulance,10480,47160,1064.49,462804,593466,62880,435,5240,60,priv-house-serv,73500,Y
Major Damage,paintball,Multi-vehicle Collision,Side Collision,NY,Fire,11600,46400,959.83,435809,437442,75400,344,17400,51,sales,0,Y
Total Loss,hiking,Single Vehicle Collision,Rear Collision,SC,Ambulance,8400,33600,1767.02,453193,942106,46200,204,4200,40,machine-op-inspct,0,N
Major Damage,sleeping,Single Vehicle Collision,Rear Collision,VA,Ambulance,5850,46800,1285.01,459630,794951,58500,278,5850,47,machine-op-inspct,0,N
Major Damage,bungie-jumping,Multi-vehicle Collision,Rear Collision,SC,Other,11040,44160,1422.95,608982,182450,66240,434,11040,57,transport-moving,0,N
Total Loss,camping,Multi-vehicle Collision,Rear Collision,PA,Ambulance,8180,49080,1223.39,452218,730973,65440,209,8180,36,craft-repair,0,N
Minor Damage,exercise,Single Vehicle Collision,Front Collision,SC,Fire,10700,42800,1539.06,434150,687755,64200,250,10700,43,sales,37800,N
Minor Damage,dancing,Multi-vehicle Collision,Rear Collision,WV,Ambulance,4040,24240,988.06,460579,757644,32320,61,4040,25,other-service,0,N
Major Damage,golf,Single Vehicle Collision,Rear Collision,SC,Police,3720,26040,1740.57,442142,998865,33480,80,3720,28,farming-fishing,0,N
Trivial Damage,polo,Vehicle Theft,?,VA,,960,2880,1540.91,608807,944953,4320,25,480,38,adm-clerical,40900,N
Trivial Damage,exercise,Vehicle Theft,?,SC,Police,420,2940,1381.88,433153,386429,4200,4,840,29,tech-support,0,N
Minor Damage,sleeping,Multi-vehicle Collision,Front Collision,NY,Ambulance,5270,42160,1446.98,436560,108270,57970,32,10540,29,adm-clerical,0,N
Trivial Damage,paintball,Parked Car,?,NY,,960,3360,1220.86,436784,205134,4320,125,0,31,other-service,55400,N
Minor Damage,reading,Multi-vehicle Collision,Front Collision,SC,Fire,6930,48510,948.1,430621,749325,69300,276,13860,45,machine-op-inspct,44500,N
Minor Damage,camping,Multi-vehicle Collision,Side Collision,NC,Police,4060,24360,1471.24,601574,774303,32480,148,4060,30,farming-fishing,57500,N
Total Loss,hiking,Single Vehicle Collision,Front Collision,NY,Police,6720,47040,1157.97,433853,698470,60480,222,6720,38,machine-op-inspct,0,N
Trivial Damage,polo,Parked Car,?,NC,Police,440,1760,566.11,453164,719989,2640,32,440,38,armed-forces,0,N
Trivial Damage,skydiving,Parked Car,?,SC,Police,1100,4400,1060.88,613931,309323,6050,78,550,27,other-service,0,N
Total Loss,chess,Multi-vehicle Collision,Rear Collision,NC,Ambulance,4270,34160,1524.45,607458,444035,42700,238,4270,43,handlers-cleaners,0,Y
Major Damage,reading,Single Vehicle Collision,Front Collision,SC,Ambulance,7320,29280,1556.17,463835,431478,40260,313,3660,47,prof-specialty,63900,Y
Major Damage,polo,Single Vehicle Collision,Rear Collision,NY,Fire,10000,35000,1216.24,613945,797634,50000,334,5000,50,priv-house-serv,26700,N
Trivial Damage,golf,Parked Car,?,NY,,320,2880,1484.72,432699,284836,3840,190,640,35,tech-support,0,N
Minor Damage,video-games,Multi-vehicle Collision,Rear Collision,WV,Police,20550,61650,1203.81,613119,238196,95900,194,13700,41,transport-moving,52500,N
Minor Damage,bungie-jumping,Multi-vehicle Collision,Side Collision,WV,Ambulance,12480,37440,1393.34,472922,885789,56160,290,6240,47,exec-managerial,0,N
Major Damage,sleeping,Single Vehicle Collision,Side Collision,SC,Police,11460,45840,1484.48,613849,287436,63030,26,5730,42,armed-forces,50700,N
Minor Damage,skydiving,Single Vehicle Collision,Front Collision,NY,Police,11540,46160,1581.27,603827,496067,63470,254,5770,41,handlers-cleaners,42200,N
Major Damage,movies,Single Vehicle Collision,Front Collision,WV,Police,4040,32320,1281.25,467780,206004,44440,199,8080,38,tech-support,0,Y
Minor Damage,paintball,Parked Car,?,WV,Police,1200,4200,1667.83,460586,153027,6600,137,1200,35,prof-specialty,48500,N
Minor Damage,kayaking,Multi-vehicle Collision,Side Collision,WV,Ambulance,9650,57900,1497.41,613842,469426,77200,134,9650,36,machine-op-inspct,14100,N
Total Loss,reading,Multi-vehicle Collision,Rear Collision,WV,Other,11400,45600,803.36,435371,654974,57000,73,0,30,protective-serv,0,N
Trivial Damage,movies,Vehicle Theft,?,WV,Police,300,2100,1221.41,466289,943425,2700,289,300,45,farming-fishing,46700,N
Total Loss,kayaking,Single Vehicle Collision,Rear Collision,WV,Police,8600,34400,1865.83,436173,641845,47300,176,4300,36,transport-moving,32800,N
Major Damage,sleeping,Single Vehicle Collision,Rear Collision,VA,Other,10020,40080,1434.27,457234,794534,55110,145,5010,37,tech-support,0,N
Trivial Damage,reading,Vehicle Theft,?,SC,Police,480,3360,1114.68,474758,357808,4320,164,480,31,other-service,44500,N
Total Loss,video-games,Multi-vehicle Collision,Front Collision,VA,Police,5730,51570,1218.56,477373,536052,68760,186,11460,38,transport-moving,39300,Y
Major Damage,paintball,Multi-vehicle Collision,Front Collision,WV,Other,7440,52080,1234.69,613471,873384,74400,85,14880,31,tech-support,0,Y
Major Damage,base-jumping,Multi-vehicle Collision,Rear Collision,NY,Fire,3530,28240,964.92,601581,790225,35300,162,3530,33,exec-managerial,45700,Y
Minor Damage,camping,Parked Car,?,NY,,480,1680,1351.72,612102,587498,2640,396,480,57,tech-support,0,N
Total Loss,cross-fit,Multi-vehicle Collision,Rear Collision,SC,Ambulance,9260,46300,817.28,460263,639027,60190,270,4630,41,sales,62200,Y
Major Damage,exercise,Multi-vehicle Collision,Rear Collision,NY,Fire,7560,30240,1389.59,479134,217899,41580,168,3780,39,machine-op-inspct,0,Y
Minor Damage,cross-fit,Single Vehicle Collision,Side Collision,NY,Ambulance,0,46800,1353.53,451467,589094,58500,274,11700,45,tech-support,54700,Y
Minor Damage,movies,Single Vehicle Collision,Rear Collision,SC,Fire,6610,59490,1294.04,602670,458829,79320,263,13220,43,handlers-cleaners,0,N
Minor Damage,chess,Single Vehicle Collision,Rear Collision,NY,Ambulance,7510,67590,840.81,613607,626208,82610,152,7510,33,farming-fishing,0,Y
Total Loss,video-games,Multi-vehicle Collision,Rear Collision,SC,Ambulance,19650,45850,998.19,611556,315041,78600,46,13100,41,priv-house-serv,43700,Y
Minor Damage,chess,Single Vehicle Collision,Front Collision,SC,Ambulance,5710,39970,1090.32,435518,283267,51390,276,5710,46,handlers-cleaners,0,Y
Major Damage,exercise,Single Vehicle Collision,Side Collision,NC,Ambulance,7020,56160,1780.67,465942,442494,70200,234,7020,44,other-service,0,Y
Minor Damage,base-jumping,Parked Car,?,SC,,1470,2940,1681.01,446174,159243,4900,64,490,30,protective-serv,0,N
Major Damage,chess,Multi-vehicle Collision,Side Collision,PA,Other,11080,49860,1395.77,611651,669800,66480,456,5540,62,protective-serv,82600,Y
Major Damage,reading,Single Vehicle Collision,Rear Collision,NC,Fire,9160,36640,1471.44,446657,520179,50380,58,4580,23,transport-moving,57500,Y
Major Damage,paintball,Single Vehicle Collision,Front Collision,SC,Fire,9900,44550,1265.72,612506,607974,64350,475,9900,61,handlers-cleaners,0,N
Major Damage,hiking,Multi-vehicle Collision,Rear Collision,NC,Ambulance,11080,38780,1274.7,618493,465065,55400,96,5540,29,prof-specialty,47500,Y
Total Loss,basketball,Single Vehicle Collision,Front Collision,NY,Other,9980,34930,1330.39,612664,369941,49900,99,4990,28,prof-specialty,0,N
Minor Damage,golf,Multi-vehicle Collision,Side Collision,WV,Ambulance,12480,49920,1122.95,473653,447226,74880,38,12480,28,priv-house-serv,78000,N
Minor Damage,exercise,Single Vehicle Collision,Front Collision,NY,Other,16280,73260,1655.79,454529,831668,105820,259,16280,44,exec-managerial,0,N
Trivial Damage,golf,Vehicle Theft,?,PA,Police,650,5200,935.77,437422,922937,7150,241,1300,43,prof-specialty,0,N
Total Loss,dancing,Single Vehicle Collision,Front Collision,SC,Ambulance,11160,33480,1192.04,619470,640474,55800,437,11160,58,craft-repair,66100,N
Trivial Damage,kayaking,Parked Car,?,NY,,1060,3710,990.11,442666,153298,5830,130,1060,34,sales,0,N
Major Damage,polo,Single Vehicle Collision,Side Collision,WV,Ambulance,17180,51540,1422.21,620507,334749,85900,269,17180,41,handlers-cleaners,0,Y
Minor Damage,base-jumping,Parked Car,?,OH,Police,1580,4740,914.85,614867,221283,7110,103,790,29,prof-specialty,72100,N
Total Loss,kayaking,Multi-vehicle Collision,Side Collision,WV,Fire,3360,26880,1123.84,609898,961496,36960,284,6720,43,prof-specialty,48200,N
Minor Damage,movies,Multi-vehicle Collision,Rear Collision,VA,Police,6440,51520,838.02,450702,804751,64400,189,6440,39,tech-support,0,N
Minor Damage,sleeping,Parked Car,?,NC,,0,1440,1300.68,600418,369226,1920,267,480,43,adm-clerical,49000,N
Major Damage,polo,Single Vehicle Collision,Rear Collision,SC,Police,7830,62640,1173.21,431202,691115,86130,39,15660,22,farming-fishing,0,Y
Major Damage,cross-fit,Single Vehicle Collision,Side Collision,VA,Fire,7470,59760,985.97,457793,713172,82170,140,14940,32,protective-serv,0,Y
Major Damage,camping,Single Vehicle Collision,Front Collision,WV,Fire,5030,35210,1129.23,470190,621756,50300,243,10060,41,farming-fishing,17300,Y
Major Damage,camping,Single Vehicle Collision,Side Collision,SC,Police,8840,30940,1194.83,603733,615116,44200,116,4420,31,prof-specialty,28600,N
Major Damage,polo,Single Vehicle Collision,Side Collision,VA,Ambulance,6060,54540,1114.29,465136,947598,66660,219,6060,43,transport-moving,51300,N
Total Loss,bungie-jumping,Single Vehicle Collision,Front Collision,SC,Ambulance,14240,56960,1509.04,611723,658002,78320,96,7120,26,prof-specialty,10000,N
Total Loss,skydiving,Single Vehicle Collision,Rear Collision,WV,Fire,16160,72720,664.86,608963,374545,105040,149,16160,34,craft-repair,0,N
Minor Damage,basketball,Single Vehicle Collision,Side Collision,NY,Fire,5070,40560,1267.4,454139,805806,50700,246,5070,43,adm-clerical,0,N
Total Loss,exercise,Multi-vehicle Collision,Front Collision,WV,Fire,5690,34140,1119.23,447560,235097,51210,293,11380,45,exec-managerial,51500,N
Total Loss,dancing,Multi-vehicle Collision,Rear Collision,SC,Fire,8640,34560,1698.51,444378,290971,51840,339,8640,48,other-service,0,N
Total Loss,exercise,Multi-vehicle Collision,Front Collision,NC,Ambulance,5280,42240,1422.78,616583,180286,52800,160,5280,33,exec-managerial,61600,N
Minor Damage,kayaking,Single Vehicle Collision,Front Collision,WV,Fire,13800,32200,1212.75,455913,662088,55200,224,9200,42,prof-specialty,0,N
Minor Damage,camping,Vehicle Theft,?,WV,,1400,6300,1423.34,454399,884365,9100,194,1400,34,sales,55300,N
Minor Damage,reading,Multi-vehicle Collision,Rear Collision,WV,Other,6760,47320,976.37,602842,178081,67600,385,13520,51,craft-repair,0,N
Minor Damage,golf,Single Vehicle Collision,Rear Collision,NC,Other,6800,27200,1124.59,459428,507452,40800,100,6800,33,adm-clerical,67300,N
Major Damage,board-games,Multi-vehicle Collision,Side Collision,WV,Other,13000,58500,1569.33,613114,990624,84500,371,13000,50,machine-op-inspct,79600,Y
Major Damage,hiking,Multi-vehicle Collision,Front Collision,SC,Other,6510,52080,1359.36,450709,892148,71610,175,13020,39,exec-managerial,0,Y
Major Damage,yachting,Multi-vehicle Collision,Rear Collision,SC,Other,12120,42420,1607.36,444626,398683,60600,373,6060,55,sales,0,Y
Major Damage,reading,Multi-vehicle Collision,Rear Collision,NC,Fire,20310,54160,1042.25,601206,605100,81240,258,6770,41,exec-managerial,0,Y
Total Loss,bungie-jumping,Multi-vehicle Collision,Side Collision,WV,Fire,5860,20510,1453.95,470389,143109,29300,255,2930,39,armed-forces,38200,N
Total Loss,skydiving,Multi-vehicle Collision,Side Collision,WV,Fire,13900,55600,1969.63,615218,230223,76450,37,6950,31,sales,0,N
Major Damage,cross-fit,Multi-vehicle Collision,Side Collision,NY,Fire,4940,34580,1156.19,606249,769602,49400,322,9880,44,machine-op-inspct,49900,N
Total Loss,kayaking,Single Vehicle Collision,Side Collision,SC,Ambulance,16460,57610,1124.47,616161,420815,90530,204,16460,38,tech-support,0,N
Minor Damage,movies,Vehicle Theft,?,WV,Police,730,5840,1493.5,442335,973546,8030,76,1460,31,priv-house-serv,39900,N
Minor Damage,movies,Single Vehicle Collision,Side Collision,NY,Fire,6390,51120,1155.38,604952,608039,63900,193,6390,40,handlers-cleaners,34200,N
Minor Damage,golf,Multi-vehicle Collision,Rear Collision,NC,Fire,4830,28980,878.19,441533,250162,38640,405,4830,55,machine-op-inspct,57100,N
Total Loss,movies,Multi-vehicle Collision,Rear Collision,NY,Other,4610,27660,1145.85,471784,786432,41490,435,9220,58,sales,0,N
Minor Damage,hiking,Multi-vehicle Collision,Side Collision,VA,Fire,7190,57520,1261.28,453265,445195,79090,54,14380,35,protective-serv,68500,N
Major Damage,cross-fit,Multi-vehicle Collision,Side Collision,WV,Police,8790,61530,1427.46,444922,938634,87900,144,17580,35,machine-op-inspct,0,N
Total Loss,yachting,Single Vehicle Collision,Rear Collision,WV,Ambulance,5340,42720,1592.41,474324,482495,53400,92,5340,32,prof-specialty,58900,N
Total Loss,basketball,Single Vehicle Collision,Rear Collision,SC,Fire,9460,33110,1274.63,441298,796005,52030,173,9460,36,machine-op-inspct,51000,N
Minor Damage,bungie-jumping,Single Vehicle Collision,Front Collision,VA,Ambulance,7460,59680,1362.31,446606,910604,82060,436,14920,60,prof-specialty,67600,N
Minor Damage,hiking,Single Vehicle Collision,Front Collision,NY,Ambulance,8060,32240,919.37,459537,327488,48360,155,8060,35,protective-serv,83600,N
Minor Damage,kayaking,Multi-vehicle Collision,Side Collision,NY,Other,11620,34860,1377.23,440757,715202,52290,78,5810,31,armed-forces,72600,N
Major Damage,paintball,Multi-vehicle Collision,Rear Collision,SC,Police,12400,43400,995.55,604948,648852,68200,440,12400,57,protective-serv,51500,Y
Major Damage,basketball,Multi-vehicle Collision,Rear Collision,NY,Other,6750,40500,1508.12,433275,516959,60750,264,13500,43,craft-repair,0,Y
Major Damage,paintball,Multi-vehicle Collision,Front Collision,SC,Fire,11920,41720,484.67,608309,984456,65560,66,11920,30,adm-clerical,21100,Y
Minor Damage,basketball,Multi-vehicle Collision,Rear Collision,NY,Police,12780,44730,1561.41,462767,801331,70290,366,12780,50,handlers-cleaners,21200,N
Total Loss,hiking,Single Vehicle Collision,Rear Collision,SC,Ambulance,5000,35000,1457.21,471785,786103,45000,188,5000,37,adm-clerical,46300,N
Total Loss,sleeping,Multi-vehicle Collision,Rear Collision,VA,Fire,6180,43260,1128.71,601397,684193,61800,224,12360,39,prof-specialty,0,N
Major Damage,movies,Multi-vehicle Collision,Front Collision,NY,Ambulance,11740,46960,1358.2,477636,247505,64570,253,5870,46,transport-moving,52900,N
Minor Damage,reading,Single Vehicle Collision,Rear Collision,VA,Other,14100,49350,1232.79,441967,259792,70500,446,7050,61,adm-clerical,49900,N
Total Loss,movies,Multi-vehicle Collision,Side Collision,SC,Police,5790,34740,936.19,454776,185124,57900,169,17370,37,armed-forces,70600,N
Minor Damage,video-games,Multi-vehicle Collision,Front Collision,WV,Fire,10520,42080,1302.34,431532,760700,57860,255,5260,46,prof-specialty,0,N
Minor Damage,polo,Single Vehicle Collision,Side Collision,VA,Fire,4200,25200,1264.99,614169,362407,37800,209,8400,39,transport-moving,67800,N
Total Loss,hiking,Single Vehicle Collision,Front Collision,NY,Ambulance,6330,50640,1467.76,601425,389525,63300,210,6330,37,tech-support,38700,N
Total Loss,paintball,Multi-vehicle Collision,Rear Collision,WV,Ambulance,4420,30940,1124.43,477346,179538,44200,174,8840,33,farming-fishing,0,N
